District,Infected,Deaths,Pct,CFR
Dhaka,5760,65,50.92,1.13
Rajshahi,1197,11,10.58,0.92
Barisal,1080,12,9.55,1.11
Rangpur,368,16,3.25,4.35
Chapainabagonj,364,5,3.22,1.37
Chottogram,339,3,3.0,0.88
Kustia,284,1,2.51,0.35
Maymansingh,210,7,1.86,3.33
Faidpur,185,3,1.64,1.62
Khulna,131,0,1.16,0.0
Syhlet,123,2,1.09,1.63
Potuakhali,104,0,0.92,0.0
Cumilla,95,3,0.84,3.16
Gopalgong,91,1,0.8,1.1
Satkhira,62,0,0.55,0.0
Gazipur,60,0,0.53,0.0
Bramanbaria,51,0,0.45,0.0
Natore,49,1,0.43,2.04
Manikgang,41,0,0.36,0.0
Pabna,41,0,0.36,0.0
Kishorgang,40,0,0.35,0.0
Netrokona,39,1,0.34,2.56
Jassore,38,13,0.34,34.21
Bagura,36,1,0.32,2.78
Meherpur,35,0,0.31,0.0
Sirajgang,34,0,0.3,0.0
Rajbari,32,0,0.28,0.0
Coxsbazar,31,5,0.27,16.13
Thakurgaon,31,0,0.27,0.0
Habigang,27,0,0.24,0.0
Chadpur,27,3,0.24,11.11
Sherpur,24,0,0.21,0.0
Shariyatpur,24,2,0.21,8.33
Norail,24,0,0.21,0.0
Tangail,23,2,0.2,8.7
Noakhali,21,0,0.19,0.0
Moulovibazar,20,0,0.18,0.0
Sunamgang,18,0,0.16,0.0
Narshindi,14,0,0.12,0.0
Jhinadah,14,0,0.12,0.0
Kurigram,13,0,0.11,0.0
Lalmanirhat,12,0,0.11,0.0
Khagrachori,11,0,0.1,0.0
Bagarhat,10,0,0.09,0.0
Gaibanda,9,0,0.08,0.0
Pirozpur,9,0,0.08,0.0
Narayangang,9,2,0.08,22.22
Jamalpur,8,0,0.07,0.0
Magura,8,0,0.07,0.0
Feni,7,0,0.06,0.0
Nilfamari,6,1,0.05,16.67
Jaypurhat,6,0,0.05,0.0
Jhalkathi,5,0,0.04,0.0
Laxmipur,4,1,0.04,25.0
Chuyadanga,3,0,0.03,0.0
Naogan,2,1,0.02,50.0
Dinajpur,2,0,0.02,0.0
Bandarban,0,0,0.0,0.0
Rangamati,0,0,0.0,0.0
Panchagar,0,0,0.0,0.0
